key,uuid,name,comment,subtype,reference_flow,declared_unit,declared_amount,mass_kg_per_declared_unit,reference_year,valid_until,geography,dataset_version,source_url
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,Portland cement CEM I - Hydraulic cement,"Portland cement CEM I, German average (VDZ), 2022",average dataset,Portland cement CEM I - Hydraulic cement,kg,1000.0,1000.0,2022,2027,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/87371640-546c-4d9c-84cc-c13b6be94146
cement_avg_D,d368f4bb-ae22-4e33-b9e4-22a7b27966c6,Average cement D - Cement as binder,"Average cement Germany (VDZ), 2022",average dataset,Average cement D - Cement as binder,kg,1000.0,1000.0,2022,2027,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/d368f4bb-ae22-4e33-b9e4-22a7b27966c6
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,aerated concrete - aerated concrete construction material,"Autoclaved aerated concrete, German industry average",average dataset,aerated concrete - aerated concrete construction material,m3,1.0,428.0,2023,2028,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/e6819670-eb6c-4104-adea-f7f8bb2f49e6
ytong_2.5_0.40,880239e9-ed96-404f-9184-bd4e004fd650,Ytong aerated concrete 2.5/0.40 RO - Unreinforced aerated concrete blocks,"Ytong AAC 2.5/0.40 blocks (Xella, RO plant)",specific dataset,Ytong aerated concrete 2.5/0.40 RO - Unreinforced aerated concrete blocks,m3,1.0,383.0,2024,2029,RO,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/880239e9-ed96-404f-9184-bd4e004fd650
gypsum_dihydrate_ground,d142da3c-dd3c-4b95-b500-9be21295b1d9,Gypsum stone (CaSO4-Dihydrate),"Gypsum stone CaSO4.2H2O, ground",generic dataset,Gypsum stone (CaSO4-Dihydrate),kg,1.0,1.0,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/d142da3c-dd3c-4b95-b500-9be21295b1d9
gypsum_beta_hemihydrate,69a2614b-ef34-4c3c-9221-963676658172,Gypsum (CaSO4 beta hemihydrate),Gypsum beta hemihydrate (calcined),generic dataset,Gypsum (CaSO4 beta hemihydrate),kg,1.0,1.0,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/69a2614b-ef34-4c3c-9221-963676658172
electricity_DE_2023,6edc9cb3-c65a-4b12-8eea-89064c9777d8,Electricity grid mix 2023,"Electricity grid mix Germany 2023, low voltage",generic dataset,Electricity grid mix 2023,kWh,1.0,,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/6edc9cb3-c65a-4b12-8eea-89064c9777d8
electricity_DE_2022,1f732978-fc49-443a-acf7-76e55a915279,Electricity grid mix 2022,"Electricity grid mix Germany 2022, low voltage",generic dataset,Electricity grid mix 2022,kWh,1.0,,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/1f732978-fc49-443a-acf7-76e55a915279
heat_natural_gas,2561c686-875a-44e5-8abe-47ec392d16ff,Thermal energy from natural gas,Thermal energy from natural gas (boiler),generic dataset,Thermal energy from natural gas,kWh,1.0,,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/2561c686-875a-44e5-8abe-47ec392d16ff
heat_light_fuel_oil,38b9c0c6-bab8-4258-aab7-ada54f12e878,Thermal energy from light fuel oil,Thermal energy from light fuel oil,generic dataset,Thermal energy from light fuel oil,kWh,1.0,,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/38b9c0c6-bab8-4258-aab7-ada54f12e878
truck,bb74d2a2-249a-4245-a1bb-7bde61f2f613,Truck,"Truck (generic lorry), per kg*km",generic dataset,Truck,tkm,1.0,,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/bb74d2a2-249a-4245-a1bb-7bde61f2f613
truck_trailer,330f8948-8463-4b63-a14a-3fedcc175180,Truck-trailer,"Truck-trailer (articulated lorry), per kg*km",generic dataset,Truck-trailer,tkm,1.0,,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/330f8948-8463-4b63-a14a-3fedcc175180
small_truck,96115e68-18fe-4cdb-a1e4-ef38d0965929,Small truck,"Small truck, per kg*km",generic dataset,Small truck,tkm,1.0,,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/96115e68-18fe-4cdb-a1e4-ef38d0965929
landfill_construction_rubble,9c1b485e-c801-42ad-bb59-fe209392fc98,Construction rubble landfill,Construction rubble landfill (C4),generic dataset,Construction rubble landfill,kg,1.0,1.0,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/9c1b485e-c801-42ad-bb59-fe209392fc98
landfill_inert,16d08b28-16ca-4918-882f-a3fe11055cb4,Inert matter landfill,Inert matter landfill (C4),generic dataset,Inert matter landfill,kg,1.0,1.0,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/16d08b28-16ca-4918-882f-a3fe11055cb4
rubble_processing,a28ca150-de06-4a99-9b8e-6dbb381f69e1,Construction rubble processing,"Construction rubble processing (crushing/sorting, C3)",generic dataset,Construction rubble processing,kg,1.0,1.0,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/a28ca150-de06-4a99-9b8e-6dbb381f69e1
sand_0_2,286b0072-1001-4e5f-baa2-282230755243,Sand 0/2,"Sand 0/2, undried",generic dataset,Sand 0/2,kg,1.0,1.0,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/286b0072-1001-4e5f-baa2-282230755243
gravel_2_32,d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,Gravel (Grain size 2/32),"Gravel 2/32, wet",generic dataset,Gravel (Grain size 2/32),kg,1.0,1.0,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1
crushed_stone_0_2,0d61ff01-935e-4934-befe-cb0b2ea18187,Crushed stone 0/2,Crushed stone 0/2,generic dataset,Crushed stone 0/2,kg,1.0,1.0,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/0d61ff01-935e-4934-befe-cb0b2ea18187
lime_CaO,e0673d46-3be4-43b5-af2b-eca25573b68a,Lime (CaO; Finelime),"Quicklime CaO, fine lime",generic dataset,Lime (CaO; Finelime),kg,1.0,1.0,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/e0673d46-3be4-43b5-af2b-eca25573b68a
drinking_water,63f776af-c722-40f5-a03a-7dc8a438a3a3,Drinking water,Drinking (tap) water,generic dataset,Drinking water,kg,1.0,1.0,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/63f776af-c722-40f5-a03a-7dc8a438a3a3
brick_unfilled_avg,30514538-fcb4-483b-b5d5-c108d2037536,Brick (unfilled),"Clay masonry brick (unfilled), industry average",average dataset,Mauerziegel (575 kg/m³) (Mauerziegel (575 kg/m³)),m3,1.0,575.0,2021,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/30514538-fcb4-483b-b5d5-c108d2037536
adobe_1200,4c009f04-44e1-42e3-a32e-4929294debab,Adobe,Adobe (unfired earth block) 1200 kg/m3,generic dataset,Adobe,m3,1.0,1200.0,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/4c009f04-44e1-42e3-a32e-4929294debab
concrete_masonry_brick_2000,2cdcffc6-84e9-4238-b8af-beebabea9a2d,Concrete masonry brick,Concrete masonry block 2000 kg/m3,generic dataset,Concrete masonry brick,m3,1.0,2000.0,2023,2026,DE,1.1,https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/cc64f7e1-14d8-4a57-b11b-2cf03d200c82/processes/2cdcffc6-84e9-4238-b8af-beebabea9a2d
