key,uuid,kind,indicator_label,code,unit,module,scenario,value,value_per_declared_unit
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Renewable primary energy as energy carrier (PERE),PERE,MJ,A1-A3,,644.0,0.644
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Renewable primary energy resources as material utilization (PERM),PERM,MJ,A1-A3,,0.0,0.0
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Total use of renewable primary energy resources (PERT),PERT,MJ,A1-A3,,644.0,0.644
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Non renewable primary energy as energy carrier (PENRE),PENRE,MJ,A1-A3,,2060.0,2.06
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Non renewable primary energy as material utilization (PENRM),PENRM,MJ,A1-A3,,0.0,0.0
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Total use of non renewable primary energy resources (PENRT),PENRT,MJ,A1-A3,,2060.0,2.06
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Use of secondary material (SM),SM,kg,A1-A3,,16.7,0.0167
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Use of renewable secondary fuels (RSF),RSF,MJ,A1-A3,,722.0,0.722
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Use of non renewable secondary fuels (NRSF),NRSF,MJ,A1-A3,,1698.0,1.698
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Use of net fresh water (FW),FW,m^3,A1-A3,,1.4,0.0014
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Hazardous waste disposed (HWD),HWD,kg,A1-A3,,0.000136,1.36e-07
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Non hazardous waste disposed (NHWD),NHWD,kg,A1-A3,,3.0,0.003
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Radioactive waste disposed (RWD),RWD,kg,A1-A3,,0.0727,7.27e-05
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Components for re-use (CRU),CRU,kg,A1-A3,,0.0,0.0
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Materials for recycling (MFR),MFR,kg,A1-A3,,0.0,0.0
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Materials for energy recovery (MER),MER,kg,A1-A3,,0.0,0.0
cem1_avg,87371640-546c-4d9c-84cc-c13b6be94146,exchange,Exported electrical energy (EEE),EEE,MJ,A1-A3,,0.0,0.0
