"Code AGB","Code CIQUAL","Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","LCI Name","Score unique EF - Agriculture","Score unique EF - Transformation","Score unique EF - Emballage","Score unique EF - Transport","Score unique EF - Supermarché et distribution","Score unique EF - Consommation","Changement climatique - Agriculture","Changement climatique - Transformation","Changement climatique - Emballage","Changement climatique - Transport","Changement climatique - Supermarché et distribution","Changement climatique - Consommation","Appauvrissement de la couche d'ozone - Agriculture","Appauvrissement de la couche d'ozone - Transformation","Appauvrissement de la couche d'ozone - Emballage","Appauvrissement de la couche d'ozone - Transport","Appauvrissement de la couche d'ozone - Supermarché et distribution","Appauvrissement de la couche d'ozone - Consommation","Rayonnements ionisants - Agriculture","Rayonnements ionisants - Transformation","Rayonnements ionisants - Emballage","Rayonnements ionisants - Transport","Rayonnements ionisants - Supermarché et distribution","Rayonnements ionisants - Consommation","Formation photochimique d'ozone - Agriculture","Formation photochimique d'ozone - Transformation","Formation photochimique d'ozone - Emballage","Formation photochimique d'ozone - Transport","Formation photochimique d'ozone - Supermarché et distribution","Formation photochimique d'ozone - Consommation","Particules fines - Agriculture","Particules fines - Transformation","Particules fines - Emballage","Particules fines - Transport","Particules fines - Supermarché et distribution","Particules fines - Consommation","Effets toxicologiques sur la santé humaine : substances non-cancérogènes - Agriculture","Effets toxicologiques sur la santé humaine : substances non-cancérogènes - Transformation","Effets toxicologiques sur la santé humaine : substances non-cancérogènes - Emballage","Effets toxicologiques sur la santé humaine : substances non-cancérogènes - Transport","Effets toxicologiques sur la santé humaine : substances non-cancérogènes - Supermarché et distribution","Effets toxicologiques sur la santé humaine : substances non-cancérogènes - Consommation","Effets toxicologiques sur la santé humaine : substances cancérogènes - Agriculture","Effets toxicologiques sur la santé humaine : substances cancérogènes - Transformation","Effets toxicologiques sur la santé humaine : substances cancérogènes - Emballage","Effets toxicologiques sur la santé humaine : substances cancérogènes - Transport","Effets toxicologiques sur la santé humaine : substances cancérogènes - Supermarché et distribution","Effets toxicologiques sur la santé humaine : substances cancérogènes - Consommation","Acidification terrestre et eaux douces - Agriculture","Acidification terrestre et eaux douces - Transformation","Acidification terrestre et eaux douces - Emballage","Acidification terrestre et eaux douces - Transport","Acidification terrestre et eaux douces - Supermarché et distribution","Acidification terrestre et eaux douces - Consommation","Eutrophisation eaux douces - Agriculture","Eutrophisation eaux douces - Transformation","Eutrophisation eaux douces - Emballage","Eutrophisation eaux douces - Transport","Eutrophisation eaux douces - Supermarché et distribution","Eutrophisation eaux douces - Consommation","Eutrophisation marine  - Agriculture","Eutrophisation marine  - Transformation","Eutrophisation marine  - Emballage","Eutrophisation marine  - Transport","Eutrophisation marine  - Supermarché et distribution","Eutrophisation marine  - Consommation","Eutrophisation terrestre - Agriculture","Eutrophisation terrestre - Transformation","Eutrophisation terrestre - Emballage","Eutrophisation terrestre - Transport","Eutrophisation terrestre - Supermarché et distribution","Eutrophisation terrestre - Consommation","Écotoxicité pour écosystèmes aquatiques d'eau douce - Agriculture","Écotoxicité pour écosystèmes aquatiques d'eau douce - Transformation","Écotoxicité pour écosystèmes aquatiques d'eau douce - Emballage","Écotoxicité pour écosystèmes aquatiques d'eau douce - Transport","Écotoxicité pour écosystèmes aquatiques d'eau douce - Supermarché et distribution","Écotoxicité pour écosystèmes aquatiques d'eau douce - Consommation","Utilisation du sol - Agriculture","Utilisation du sol - Transformation","Utilisation du sol - Emballage","Utilisation du sol - Transport","Utilisation du sol - Supermarché et distribution","Utilisation du sol - Consommation","Épuisement des ressources eau - Agriculture","Épuisement des ressources eau - Transformation","Épuisement des ressources eau - Emballage","Épuisement des ressources eau - Transport","Épuisement des ressources eau - Supermarché et distribution","Épuisement des ressources eau - Consommation","Épuisement des ressources énergétiques - Agriculture","Épuisement des ressources énergétiques - Transformation","Épuisement des ressources énergétiques - Emballage","Épuisement des ressources énergétiques - Transport","Épuisement des ressources énergétiques - Supermarché et distribution","Épuisement des ressources énergétiques - Consommation","Épuisement des ressources minéraux - Agriculture","Épuisement des ressources minéraux - Transformation","Épuisement des ressources minéraux - Emballage","Épuisement des ressources minéraux - Transport","Épuisement des ressources minéraux - Supermarché et distribution","Épuisement des ressources minéraux - Consommation"
"12112","12112","lait et produits laitiers","fromages","Abondance","Abondance cheese, from cow's milk",0.43310303,0.041677108000000004,0.02605998,0.023036555,0.009207859999999998,0.0025378687,3.9106775,0.36149682,0.34916978,0.3139107,0.036880502,0.0068359248,1.4941333e-8,"1.0297985e-8",6.929522e-9,1.4744919e-8,7.1273507e-10,1.9605878e-10,0.12263099,0.24993589,0.020754273,0.0036690625,0.1389675,0.040180717,0.0073288014,0.0011117198,0.0011120144,0.0012689007,0.000096446153,0.000026809583,4.7818199e-7,3.5545134e-8,1.0051158e-8,1.8408405e-8,1.5943433e-9,4.4433573e-10,7.9656903e-8,1.9624294e-9,1.7439292e-9,2.2360451e-9,9.9831073e-10,2.8451831e-10,1.9218328e-9,2.062784e-10,7.4886414e-11,4.6905654e-11,1.8070555e-11,5.0997945e-12,0.071421849,0.0014000041,0.00092783548,0.00093043268,0.00018163795,0.000051584776,0.00019800372,0.00019147371,0.000057593438,0.000028936711,0.000012706424,0.0000036348365,0.01635761,0.0012072948,0.00028622868,0.00029079414,0.000035134908,0.0000097996519,0.30974018,0.0031929306,0.0023380954,0.003140998,0.00030323888,0.000081809268,42.470796,0.66437002,0.92043665,0.73791079,0.14398712,0.040916132,170.33678,3.1609684,2.6978004,1.8640298,0.17559095,0.050456554,0.43178494,0.059280575,0.14203645,0.016398914,0.011021754,0.0027412029,9.7434325,9.4839397,5.1710984,4.0149021,3.1037694,0.89290184,0.0000074281663,7.8050333e-7,0.0000014373448,0.0000010595871,0.0000011377159,3.2864629e-7
"11168","11168","aides culinaires et ingrédients divers","sauces","Sauce aïoli, préemballée","Aioli sauce (garlic and olive oil mayonnaise), prepacked",0.41146804,0.038555403,0.06328059,0.022163523,0.01004022,0.0025378687,0.38904194,0.25647357,0.43777953,0.29907569,0.047907306,0.0068359248,2.3547901e-8,"5.0759557e-9",8.9893692e-7,1.5407079e-8,7.7734761e-10,1.9605878e-10,0.067452139,0.43291647,0.12122618,0.0035735233,0.13935116,0.040180717,0.0082628963,0.00066561925,0.0015265592,0.0012801091,0.00014133906,0.000026809583,2.2249562e-7,1.1315057e-8,1.5922083e-8,1.7552227e-8,2.5786382e-9,4.4433573e-10,1.6931609e-7,5.1650188e-9,3.7404478e-9,2.1267188e-9,1.1314539e-9,2.8451831e-10,4.6039964e-9,7.6377772e-11,1.2646295e-10,4.5020404e-11,2.1082034e-11,5.0997945e-12,0.032296276,0.0014078336,0.00141343,0.0010114707,0.00022822276,0.000051584776,0.0003816834,0.000051404362,0.00011031885,0.000026028774,0.000014611635,0.0000036348365,0.01599637,0.0011351712,0.0003519999,0.00029855136,0.000054718906,0.0000097996519,0.13685186,0.0050579391,0.0029676914,0.0032385393,0.00066199659,0.000081809268,37.065364,1.5161175,1.7026818,0.66802296,0.17944072,0.040916132,503.01527,3.4892969,3.9266617,1.7958903,0.18899507,0.050456554,18.829171,0.16999337,0.12224554,0.01533939,0.011842417,0.0027412029,13.545411,10.985547,9.4131694,3.8060675,3.1649737,0.89290184,0.000010773347,0.0000012843282,0.000021160859,9.8213066e-7,0.0000011453096,3.2864629e-7
"26006","26006","viandes, œufs, poissons","poissons crus","Lieu ou colin d'Alaska, cru","Alaska pollock, raw",1.7731514000000002,0,0.079015502,0.1046502,0.0094953529,0.0025378687,10.319907,0,0.50495442,1.3162713,0.040689102,0.0068359248,2.3441467e-7,"0",0.0000014570046,7.1719358e-8,7.350519e-10,1.9605878e-10,0.063936543,0,0.023686397,0.013128912,0.13910001,0.040180717,0.22940111,0,0.0014960302,0.0080935503,0.00011195193,0.000026809583,0.0000023863754,0,1.4808336e-8,6.7737208e-8,1.9343136e-9,4.4433573e-10,3.395614e-8,0,3.8742702e-9,8.3453611e-9,1.0442977e-9,2.8451831e-10,5.07177e-9,0,1.1483058e-10,1.9843805e-10,1.9110704e-11,5.0997945e-12,0.31092074,0,0.001390997,0.0071402526,0.0001977281,0.000051584776,0.00031455586,0,0.000083648615,0.00011422413,0.000013364474,0.0000036348365,0.075926085,0,0.00034239772,0.0022428541,0.000041899118,0.0000097996519,0.83041046,0,0.0026695439,0.024478404,0.0004271519,0.000081809268,7.7567342,0,1.2046704,2.8995673,0.15623261,0.040916132,8.4554911,0,1.2287305,6.3989112,0.18022067,0.050456554,0.24142388,0,0.075863293,0.063592903,0.011305207,0.0027412029,133.84028,0,7.6063822,16.276179,3.124909,0.89290184,0.000023201972,0,0.000036497115,0.0000043898485,0.0000011403387,3.2864629e-7
"26152","26152","viandes, œufs, poissons","poissons cuits","Lieu ou colin d'Alaska, fumé","Alaska pollock, smoked",1.7731514000000002,0,0.07901364699999999,0.1046502,0.0061983081,0.0025378687,10.319907,0,0.50493953,1.3162713,0.027264733,0.0068359248,2.3441467e-7,"0",0.0000014570044,7.1719358e-8,4.7813435e-10,1.9605878e-10,0.063936543,0,0.023673863,0.013128912,0.08932789,0.040180717,0.22940111,0,0.0014959679,0.0080935503,0.000078061564,0.000026809583,0.0000023863754,0,1.4807628e-8,6.7737208e-8,1.3801533e-9,4.4433573e-10,3.395614e-8,0,3.8732201e-9,8.3453611e-9,6.8884796e-10,2.8451831e-10,5.07177e-9,0,1.1481899e-10,1.9843805e-10,1.267592e-11,5.0997945e-12,0.31092074,0,0.001390927,0.0071402526,0.00013341337,0.000051584776,0.00031455586,0,0.000083591338,0.00011422413,0.0000088427844,0.0000036348365,0.075926085,0,0.00034112717,0.0022428541,0.000029630909,0.0000097996519,0.83041046,0,0.0026693003,0.024478404,0.0003246539,0.000081809268,7.7567342,0,1.2012334,2.8995673,0.1052201,0.040916132,8.4554911,0,1.2286588,6.3989113,0.11752795,0.050456554,0.24142388,0,0.076387164,0.063592903,0.0073709288,0.0027412029,133.84028,0,7.6060097,16.276179,2.0130842,0.89290184,0.000023201972,0,0.000036497001,0.0000043898485,7.3286847e-7,3.2864629e-7
"26179","26179","viandes, œufs, poissons","produits à base de poissons et produits de la mer","Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté","Albacore, in olive oil, canned, drained",1.0625071999999998,0.5489853,0.065670037,0.038278777,0.0017396424,0,4.9791602,3.7651698,0.66681382,0.51613654,0.0091930561,0,1.2514183e-7,"1.624373e-7",7.6944323e-9,1.2791228e-8,3.2098655e-10,0,0.051538646,0.96184945,0.095724445,0.00843504,0.028585073,0,0.11466914,0.060996665,0.0023046934,0.0017802949,0.000023994858,0,0.0000012601432,6.2949473e-7,4.8733152e-8,3.7010356e-8,2.866978e-10,0,1.1084638e-7,1.2217682e-8,6.161214e-9,4.453325e-9,6.0214441e-11,0,2.9638841e-9,1.3940941e-9,7.0401646e-9,8.4811239e-11,1.9796349e-12,0,0.16641302,0.081917926,0.0022860506,0.0011940409,0.000025940617,0,0.00031125948,0.00014578966,0.00027867606,0.000037521734,0.0000014830944,0,0.044908023,0.020588674,0.00056692175,0.00028646344,0.0000075848753,0,0.47093964,0.2187027,0.005635362,0.0030944357,0.000062459858,0,17.857636,3.872359,2.9369445,1.0165998,0.012429188,0,280.27396,3.1465012,5.2460333,4.1888837,0.021816763,0,10.85252,0.20398408,0.23416756,0.028524075,0.0032877936,0,69.729817,62.663811,9.4512629,7.2307835,0.70774634,0,0.000015747239,0.0000071372473,0.0000013014026,0.0000017631584,3.8219609e-8,0
"26076","26076","viandes, œufs, poissons","poissons crus","Thon germon ou thon blanc, cru","Albacore, raw",1.4012121000000002,0,0.079015502,0.06979688799999999,0.0094953529,0.0025378687,8.051528,0,0.50495442,0.88587416,0.040689102,0.0068359248,1.8765118e-7,"0",0.0000014570046,4.8783983e-8,7.350519e-10,1.9605878e-10,0.039292818,0,0.023686397,0.0088648357,0.13910001,0.040180717,0.18307903,0,0.0014960302,0.0052608946,0.00011195193,0.000026809583,0.0000018989915,0,1.4808336e-8,4.5947841e-8,1.9343136e-9,4.4433573e-10,2.5760454e-8,0,3.8742702e-9,5.6551575e-9,1.0442977e-9,2.8451831e-10,3.9161282e-9,0,1.1483058e-10,1.3300054e-10,1.9110704e-11,5.0997945e-12,0.24831318,0,0.001390997,0.0045926211,0.0001977281,0.000051584776,0.0001812707,0,0.000083648615,0.000077300592,0.000013364474,0.0000036348365,0.060658245,0,0.00034239772,0.0014433356,0.000041899118,0.0000097996519,0.6634767,0,0.0026695439,0.015743389,0.0004271519,0.000081809268,5.0880411,0,1.2046704,1.9636799,0.15623261,0.040916132,6.1319174,0,1.2287305,4.3640968,0.18022067,0.050456554,0.12890997,0,0.075863293,0.04298613,0.011305207,0.0027412029,104.14033,0,7.6063822,10.953766,3.124909,0.89290184,0.000016552175,0,0.000036497115,0.0000029515041,0.0000011403387,3.2864629e-7
"26077","26077","viandes, œufs, poissons","produits à base de poissons et produits de la mer","Thon germon ou thon blanc, cuit à la vapeur sous pression","Albacore, steamed under pressure",1.7109613000000001,0,0.11489321000000001,0.085551373,0.011594377000000001,0.035761286999999996,9.8313827,0,0.73423159,1.0862113,0.049683754,0.096325502,2.2913298e-7,"0",0.0000021185929,5.9840532e-8,8.9754101e-10,2.7626781e-9,0.047978811,0,0.034433611,0.010870941,0.16984919,0.56618933,0.22355011,0,0.0021752986,0.0064418748,0.0001366998,0.00037777573,0.0000023187787,0,2.1531961e-8,5.6355671e-8,2.3619091e-9,6.2611663e-9,3.1455009e-8,0,5.6327924e-9,6.9358638e-9,1.275148e-9,4.0091677e-9,4.7818198e-9,0,1.6696465e-10,1.6305219e-10,2.3335278e-11,7.1861566e-11,0.3032048,0,0.0020225676,0.0056212194,0.00024143748,0.00072688473,0.00022134204,0,0.00012159396,0.000094801843,0.000016318798,0.000051218738,0.074067236,0,0.00049704325,0.0017666318,0.000051161254,0.00013808759,0.81014354,0,0.0038815567,0.019269341,0.00052157725,0.0011527802,6.2127934,0,1.7494391,2.4083332,0.19076908,0.57655212,7.4874268,0,1.7866189,5.3537243,0.22005989,0.71098687,0.15740655,0,0.11065249,0.052716073,0.013804313,0.038626484,127.16139,0,11.060003,13.430902,3.8156952,12.581943,0.000020211166,0,0.000053069447,0.0000036188376,0.0000013924198,0.0000046309782
"15029","15029","fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Luzerne, graine germée","Alfalfa seeds, sprouted, raw",0.063669466,0.25866722,0.026227717,0.020714002,0.013090218,0.013240603,0.20275019,1.8000576,0.40521429,0.26357366,0.049009838,0.32315269,1.5730065e-9,"2.5874788e-8",8.4181756e-9,5.6062757e-9,1.4339019e-9,3.1113556e-10,0.003199736,0.055078387,0.0076611178,0.0049702559,0.18952594,0.00031652481,0.0010401711,0.005630816,0.0012245182,0.0011996127,0.00016628303,0.00033954399,6.2106249e-8,1.5458586e-7,5.3966401e-9,1.9089301e-8,2.5878422e-9,2.4317295e-9,2.903245e-8,2.2087519e-8,1.4973529e-9,2.2526274e-9,1.4648493e-9,3.1588173e-9,2.3111662e-10,4.2162317e-9,6.6434717e-11,4.5096758e-11,2.8589103e-11,6.4770075e-11,0.0087715455,0.023313748,0.00059537462,0.00099176462,0.00027490828,0.00020468647,0.00024218148,0.00085402337,0.000048234343,0.000018930391,0.000018452376,0.000056186785,0.0049186424,0.019104367,0.00017056242,0.00024793468,0.000057993641,0.00037432992,0.038361924,0.099093002,0.001318741,0.0027095581,0.00056832323,0.00087378892,2.4349379,20.66627,0.59979244,0.49321267,0.21636758,1.4647761,48.323425,466.19804,0.69694095,2.1377312,0.24880637,0.24959893,0.67761385,0.4044701,0.1732715,0.014645923,0.02484052,0.016117627,1.3732647,10.317458,5.8280304,3.7147318,4.4298857,0.21404421,9.9292522e-7,0.0000089163864,0.0000010380982,8.6569625e-7,0.0000015643657,5.0667898e-8
"24664","24664","produits céréaliers","gâteaux et pâtisseries","Gâteau aux amandes type financier","Almond cake",0.7452904699999999,0.037818587,0.080969705,0.019597958000000002,0.0053503994,0,2.1486286,0.27067991,1.2573479,0.24879654,0.027127692,0,3.1400247e-8,"5.8799735e-9",2.9007141e-8,6.1938926e-9,5.7298319e-10,0,0.1682454,0.44801138,-0.01028378,0.0047596463,0.066747512,0,0.0099614148,0.00064551467,0.003564867,0.0012206957,0.000099642825,0,4.4795311e-7,1.1406883e-8,1.8121909e-8,1.6608882e-8,1.8055907e-9,0,2.5954555e-7,4.7913176e-9,4.6449989e-9,1.9858105e-9,6.3504301e-10,0,1.6841237e-9,8.4677755e-11,2.2030784e-10,4.160806e-11,1.2817068e-11,0,0.05573739,0.0012648912,0.0018495911,0.0010429511,0.00013907085,0,0.00053767929,0.000048120951,0.00011656347,0.000019448234,0.000008212148,0,0.018450234,0.0011431481,0.00045917236,0.0002755915,0.000038245409,0,0.23639767,0.0046221929,0.0042420932,0.0030114993,0.00052737377,0,64.41031,1.1739829,1.6577091,0.48042567,0.1082966,0,220.73893,3.4138,2.206379,1.8889123,0.099482457,0,44.106561,0.04107054,0.37399174,0.01385457,0.0094541192,0,17.853162,11.463749,19.425304,3.4312329,1.6124337,0,0.000019098149,8.659842e-7,0.0000034311322,7.93742e-7,5.5525957e-7,0
"18107","18107","boissons","boissons sans alcool","Boisson à l'amande","Almond drink not sweet, not fortified, prepacked",0.087626189,0.0099950582,0.0082229943,0.0098137229,0.0042564001,0,0.03852009,0.059934253,0.098548615,0.12797017,0.014944989,0,3.7752489e-9,"2.3205133e-9",2.5663727e-9,2.7600651e-9,4.6847947e-10,0,0.012658344,0.073431842,0.010783248,0.0023193702,0.063125699,0,0.00090272402,0.00024291887,0.0003560237,0.00051445694,0.00004961676,0,3.4561226e-8,2.8598089e-9,3.929515e-9,9.485268e-9,7.3619076e-10,0,3.8234375e-8,1.1040281e-9,8.7992281e-10,1.1175253e-9,4.7115527e-10,0,1.2424994e-10,2.982967e-11,5.9102697e-11,2.1567248e-11,9.1377524e-12,0,0.0033099876,0.00041816752,0.00030093749,0.00037017677,0.000085630754,0,0.000067563547,0.000026495784,0.000030495659,0.0000090626386,0.0000059053246,0,0.0015210609,0.0001708618,0.00010130359,0.000095447504,0.000016809619,0,0.013585837,0.0005301279,0.00074940562,0.0010377481,0.00014332581,0,6.0702348,0.53578726,0.42310218,0.24066073,0.067558262,0,22.154454,0.61954441,3.1324107,1.0894385,0.081204474,0,7.4244645,0.0559194,0.028920543,0.0071938753,0.0081741834,0,1.7807075,2.7800258,1.5126254,1.811073,1.4682859,0,0.0000024646292,8.6574191e-7,3.0526315e-7,4.2749053e-7,5.2044885e-7,0
