process_id,unit,price_bulk_eur,price_bulk_min,price_bulk_max,price_lab_eur,currency_year,source_id,notes
electricity_CZ_lv,kWh,0.17,0.12,0.25,0.17,2024,INDICATIVE,"Czech industrial electricity incl. network fees (Eurostat non-household band IC-ID, 2024, indicative)"
electricity_DE_lv,kWh,0.20,0.15,0.28,0.20,2024,INDICATIVE,"German industrial electricity (indicative)"
heat_natural_gas,kWh,0.07,0.05,0.10,0.07,2024,INDICATIVE,"Delivered heat from a natural-gas boiler (gas 0.05-0.08 EUR/kWh, boiler efficiency 0.9)"
heat_light_fuel_oil,kWh,0.09,0.07,0.13,0.09,2024,INDICATIVE,"Delivered heat from light fuel oil"
transport_truck,tkm,0.12,0.08,0.18,0.12,2024,INDICATIVE,"Road freight, general cargo"
transport_truck_trailer,tkm,0.09,0.06,0.14,0.09,2024,INDICATIVE,"Bulk road freight"
transport_small_truck,tkm,0.35,0.25,0.60,0.35,2024,INDICATIVE,"Small deliveries"
landfill_inert,kg,0.025,0.015,0.045,0.025,2024,INDICATIVE,"Czech inert-waste landfill gate fee incl. statutory charge (15-45 EUR/t)"
landfill_construction_rubble,kg,0.025,0.015,0.045,0.025,2024,INDICATIVE,"as above"
rubble_processing,kg,0.006,0.004,0.010,0.006,2024,INDICATIVE,"Crushing/sorting of construction rubble (4-10 EUR/t)"
water_tap,kg,0.003,0.002,0.005,0.003,2024,INDICATIVE,"Water + wastewater charge 2-5 EUR/m3 (Czech cities 2024)"
water_deionised,kg,0.02,0.01,0.05,0.10,2024,INDICATIVE,"RO/EDI water on site; laboratory-grade purchased water much higher"
urea_EU,kg,0.45,0.35,0.65,3.0,2024,INDICATIVE,"Technical/fertiliser-grade urea, bulk (350-650 EUR/t); laboratory grade 2-5 EUR/kg"
calcium_chloride_industrial,kg,0.35,0.25,0.50,2.5,2024,INDICATIVE,"CaCl2 flakes 77 % or anhydrous, bulk; lab grade 2-4 EUR/kg"
calcium_lactate_pentahydrate,kg,3.5,2.5,5.0,25.0,2024,INDICATIVE,"Food-grade calcium lactate, bulk; laboratory grade 20-40 EUR/kg"
calcium_acetate,kg,2.0,1.2,3.0,15.0,2024,INDICATIVE,"Industrial calcium acetate"
calcium_acetate_bio,kg,1.5,0.8,3.0,15.0,2024,INDICATIVE,"Estimate for bio-derived acetate route"
calcium_nitrate,kg,0.45,0.35,0.70,3.0,2024,INDICATIVE,"Fertiliser-grade calcium nitrate"
sodium_nitrate,kg,0.60,0.45,0.90,3.0,2024,INDICATIVE,"Industrial sodium nitrate"
sodium_acetate,kg,1.2,0.8,1.8,8.0,2024,INDICATIVE,"Industrial sodium acetate"
acetic_acid,kg,0.7,0.5,1.0,4.0,2024,INDICATIVE,"Glacial acetic acid, bulk"
calcium_hydroxide,kg,0.15,0.10,0.25,1.5,2024,INDICATIVE,"Hydrated lime, bulk"
calcium_carbonate_limestone,kg,0.06,0.03,0.12,1.0,2024,INDICATIVE,"Ground limestone"
eggshell_powder_waste,kg,0.02,0.0,0.05,0.02,2024,INDICATIVE,"Waste eggshells, grinding only"
sodium_chloride,kg,0.10,0.06,0.20,0.8,2024,INDICATIVE,"Industrial salt"
sodium_bicarbonate,kg,0.35,0.25,0.55,2.0,2024,INDICATIVE,"Technical sodium bicarbonate"
sodium_carbonate,kg,0.30,0.20,0.45,1.5,2024,INDICATIVE,"Soda ash, bulk"
potassium_hydroxide,kg,1.3,0.9,1.8,6.0,2024,INDICATIVE,"KOH flakes 90 %, bulk"
hydrochloric_acid,kg,0.30,0.20,0.45,2.0,2024,INDICATIVE,"per kg HCl (100 % basis); 30 % solution ~0.1 EUR/kg"
sodium_hydroxide,kg,0.55,0.40,0.80,3.0,2024,INDICATIVE,"NaOH (100 % basis)"
sulfuric_acid,kg,0.15,0.10,0.25,2.0,2024,INDICATIVE,"H2SO4 (100 % basis)"
yeast_extract,kg,7.0,4.0,12.0,60.0,2024,INDICATIVE,"Food/feed-grade yeast extract bulk; laboratory grade 40-100 EUR/kg"
tryptone_casein,kg,25.0,15.0,45.0,120.0,2024,INDICATIVE,"Industrial casein peptone; laboratory tryptone 80-200 EUR/kg"
peptone_generic,kg,15.0,8.0,30.0,80.0,2024,INDICATIVE,"Industrial peptone"
soy_peptone,kg,10.0,6.0,18.0,60.0,2024,INDICATIVE,"Industrial soy peptone"
beef_extract,kg,15.0,8.0,30.0,80.0,2024,INDICATIVE,"Meat extract / Lab-Lemco"
glucose,kg,0.7,0.5,1.0,3.0,2024,INDICATIVE,"Dextrose, bulk"
dipotassium_phosphate,kg,1.8,1.2,2.8,8.0,2024,INDICATIVE,"Technical K2HPO4"
malt_extract,kg,2.5,1.5,4.0,15.0,2024,INDICATIVE,"Malt extract, food grade"
chicken_feathers_waste,kg,0.02,0.0,0.05,0.02,2024,INDICATIVE,"Raw feathers at slaughterhouse (near zero / disposal cost avoided)"
waste_gypsum_plaster,kg,0.005,0.0,0.015,0.005,2024,INDICATIVE,"Recycled gypsum (0-15 EUR/t)"
wcf_waste_concrete_fines,kg,0.0,-0.02,0.005,0.0,2024,INDICATIVE,"Waste fines at recycling yard; negative = gate fee received"
chromium_steel_mill_parts,kg,6.0,4.0,9.0,6.0,2024,INDICATIVE,"Wear parts"
magnesium_oxide,kg,0.6,0.4,1.0,4.0,2024,INDICATIVE,"Caustic calcined magnesia"
phosphoric_acid,kg,1.2,0.9,1.8,6.0,2024,INDICATIVE,"H3PO4 (100 % basis)"
ammonium_sulfate_credit,kg,0.25,0.15,0.40,0.25,2024,INDICATIVE,"Fertiliser value of recovered ammonium sulfate (credit)"
ammonium_sulfate,kg,0.25,0.15,0.40,2.0,2024,INDICATIVE,"Fertiliser-grade"
ammonium_chloride,kg,0.6,0.4,1.0,3.0,2024,INDICATIVE,""
magnesium_sulfate,kg,0.35,0.25,0.6,2.0,2024,INDICATIVE,""
magnesium_chloride,kg,0.30,0.20,0.5,2.0,2024,INDICATIVE,""
nickel_chloride,kg,25.0,15.0,40.0,150.0,2024,INDICATIVE,"trace"
agar,kg,40.0,25.0,70.0,150.0,2024,INDICATIVE,""
corn_steep_liquor,kg,0.15,0.08,0.30,0.15,2024,INDICATIVE,"Liquid by-product"
lactose_mother_liquor,kg,0.05,0.02,0.15,0.05,2024,INDICATIVE,"Dairy by-product"
chicken_manure_effluent_waste,kg,0.0,0.0,0.01,0.0,2024,INDICATIVE,"Waste"
jack_bean_meal,kg,3.0,2.0,6.0,20.0,2024,INDICATIVE,"Legume flour"
agb_skimmed_milk_powder,kg,2.8,2.2,3.8,10.0,2024,INDICATIVE,"Skimmed milk powder"
agb_sugar_white,kg,0.7,0.5,1.0,2.0,2024,INDICATIVE,"Sugar"
agb_soya_flour,kg,0.9,0.6,1.4,5.0,2024,INDICATIVE,"Soya flour"
agb_maize_starch,kg,0.6,0.4,0.9,3.0,2024,INDICATIVE,"Maize starch"
agb_gelatine_dried,kg,6.0,4.0,10.0,40.0,2024,INDICATIVE,"Gelatine"
