source_id,sample_code,material,organism,medium,treatment,duration_d,temperature_C,gypsum_wt_pct,property,value,sd,unit,notes
HOLECEK2024,G-B-14,wcf_g,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,14,28,0,CaCO3_content,39.46,,wt%,XRD all polymorphs
HOLECEK2024,G-B-30,wcf_g,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,30,28,0,CaCO3_content,42.10,,wt%,
HOLECEK2024,G-B-60,wcf_g,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,60,28,0,CaCO3_content,42.62,,wt%,
HOLECEK2024,G-B-90,wcf_g,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,90,28,0,CaCO3_content,43.56,,wt%,
HOLECEK2024,G-S-90,wcf_g,none (sterile),saline,saline additions,90,28,0,CaCO3_content,32.51,,wt%,sterile control
HOLECEK2024,WCF-G,wcf_g,none,none,raw material,0,,0,CaCO3_content,29.57,,wt%,
HOLECEK2024,H-B-14,wcf_h,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,14,28,0,CaCO3_content,38.95,,wt%,
HOLECEK2024,H-B-30,wcf_h,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,30,28,0,CaCO3_content,41.32,,wt%,
HOLECEK2024,H-B-60,wcf_h,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,60,28,0,CaCO3_content,45.20,,wt%,
HOLECEK2024,H-B-90,wcf_h,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,90,28,0,CaCO3_content,46.35,,wt%,
HOLECEK2024,H-S-90,wcf_h,none (sterile),saline,saline additions,90,28,0,CaCO3_content,37.39,,wt%,sterile control
HOLECEK2024,WCF-H,wcf_h,none,none,raw material,0,,0,CaCO3_content,35.13,,wt%,
HOLECEK2024,G-B-14,wcf_g,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,14,28,0,porosity,72.8,,%,MIP
HOLECEK2024,G-B-30,wcf_g,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,30,28,0,porosity,70.5,,%,MIP
HOLECEK2024,G-B-60,wcf_g,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,60,28,0,porosity,68.3,,%,MIP
HOLECEK2024,G-B-90,wcf_g,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,90,28,0,porosity,61.0,,%,MIP
HOLECEK2024,G-S-90,wcf_g,none (sterile),saline,saline additions,90,28,0,porosity,74.8,,%,MIP
HOLECEK2024,H-B-14,wcf_h,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,14,28,0,porosity,61.8,,%,MIP
HOLECEK2024,H-B-30,wcf_h,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,30,28,0,porosity,57.2,,%,MIP
HOLECEK2024,H-B-60,wcf_h,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,60,28,0,porosity,55.6,,%,MIP
HOLECEK2024,H-B-90,wcf_h,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,90,28,0,porosity,50.9,,%,MIP
HOLECEK2024,H-S-90,wcf_h,none (sterile),saline,saline additions,90,28,0,porosity,65.6,,%,MIP
HOLECEK2024,G-B-14,wcf_g,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,14,28,0,indentation_stiffness,3.558,0.636,N/mm,
HOLECEK2024,G-B-30,wcf_g,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,30,28,0,indentation_stiffness,8.060,4.507,N/mm,
HOLECEK2024,G-B-60,wcf_g,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,60,28,0,indentation_stiffness,9.123,7.146,N/mm,
HOLECEK2024,G-B-90,wcf_g,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,90,28,0,indentation_stiffness,11.992,2.170,N/mm,
HOLECEK2024,G-S-90,wcf_g,none (sterile),saline,saline additions,90,28,0,indentation_stiffness,5.942,1.675,N/mm,
HOLECEK2024,H-B-14,wcf_h,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,14,28,0,indentation_stiffness,5.011,2.328,N/mm,
HOLECEK2024,H-B-30,wcf_h,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,30,28,0,indentation_stiffness,5.947,1.975,N/mm,
HOLECEK2024,H-B-60,wcf_h,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,60,28,0,indentation_stiffness,7.732,1.527,N/mm,
HOLECEK2024,H-B-90,wcf_h,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 48-72 h,90,28,0,indentation_stiffness,7.479,2.453,N/mm,
HOLECEK2024,H-S-90,wcf_h,none (sterile),saline,saline additions,90,28,0,indentation_stiffness,8.330,1.935,N/mm,
HOLECEK2024,AAC,aac,none,none,commercial Gasbeton AAC 580 kg/m3 (5 MPa),,,,indentation_stiffness,54.731,,N/mm,reference
KLIKOVA2025CCC,G-SP,wcf_g,S. pasteurii DSM 33,TSB/NB + urea + CaCl2,repeated BS 30 d,30,28,0,relative_porosity,65.8,,% of sterile,vs G-0
KLIKOVA2025CCC,G-BP,wcf_g,A. pseudofirmus DSM 8715,LB/NB + Ca-lactate,repeated BS 30 d,30,30,0,relative_porosity,69.5,,% of sterile,
