flow_uuid,flow_name,compartment,ef31_class2,category_code,cf,location,method_uuid,derivation
08a91e70-3ddc-11dd-a2a9-0050c2490048,ammonia,air,"Emissions to air, unspecified",AP,3.02,GLO,b5c611c6-def3-11e6-bf01-fe55135034f3,Unknown derivation
08a91e70-3ddc-11dd-96e5-0050c2490048,nitrogen dioxide,air,"Emissions to air, unspecified",AP,0.74,GLO,b5c611c6-def3-11e6-bf01-fe55135034f3,Unknown derivation
fe0acd60-3ddc-11dd-ac48-0050c2490048,sulfur dioxide,air,"Emissions to air, unspecified",AP,1.31,GLO,b5c611c6-def3-11e6-bf01-fe55135034f3,Calculated
08a91e70-3ddc-11dd-9c15-0050c2490048,carbon dioxide (biogenic),air,"Emissions to air, unspecified",GWP-total,0,GLO,6209b35f-9447-40b5-b68c-a1099e3674a0,Calculated
08a91e70-3ddc-11dd-923d-0050c2490048,carbon dioxide (fossil),air,"Emissions to air, unspecified",GWP-total,1,GLO,6209b35f-9447-40b5-b68c-a1099e3674a0,Calculated
adcb79f3-89cf-45fb-b0b2-65558cb2af26,Carbon dioxide (land use change),air,"Emissions to air, unspecified",GWP-total,1,GLO,6209b35f-9447-40b5-b68c-a1099e3674a0,Calculated
fe0acd60-3ddc-11dd-a8e8-0050c2490048,methane (biogenic),air,"Emissions to air, unspecified",GWP-total,27,GLO,6209b35f-9447-40b5-b68c-a1099e3674a0,Calculated
08a91e70-3ddc-11dd-9610-0050c2490048,methane (fossil),air,"Emissions to air, unspecified",GWP-total,29.8,GLO,6209b35f-9447-40b5-b68c-a1099e3674a0,Calculated
08a91e70-3ddc-11dd-94c3-0050c2490048,nitrous oxide,air,"Emissions to air, unspecified",GWP-total,273,GLO,6209b35f-9447-40b5-b68c-a1099e3674a0,Calculated
08a91e70-3ddc-11dd-9c15-0050c2490048,carbon dioxide (biogenic),air,"Emissions to air, unspecified",GWP-biogenic,0,GLO,706261af-a357-4cc0-a50a-f3033fcbd556,Calculated
fe0acd60-3ddc-11dd-a8e8-0050c2490048,methane (biogenic),air,"Emissions to air, unspecified",GWP-biogenic,27,GLO,706261af-a357-4cc0-a50a-f3033fcbd556,Calculated
08a91e70-3ddc-11dd-923d-0050c2490048,carbon dioxide (fossil),air,"Emissions to air, unspecified",GWP-fossil,1,GLO,7fce5b3a-66b8-4ce1-91e8-a925aee1f186,Calculated
08a91e70-3ddc-11dd-9610-0050c2490048,methane (fossil),air,"Emissions to air, unspecified",GWP-fossil,29.8,GLO,7fce5b3a-66b8-4ce1-91e8-a925aee1f186,Calculated
08a91e70-3ddc-11dd-94c3-0050c2490048,nitrous oxide,air,"Emissions to air, unspecified",GWP-fossil,273,GLO,7fce5b3a-66b8-4ce1-91e8-a925aee1f186,Calculated
adcb79f3-89cf-45fb-b0b2-65558cb2af26,Carbon dioxide (land use change),air,"Emissions to air, unspecified",GWP-luluc,1,GLO,14af9ca7-aa1d-4832-b1d9-ab05a06dcb12,Calculated
08a91e70-3ddc-11dd-91be-0050c2490048,particles (PM10),air,"Emissions to air, unspecified",PM,5.48544e-05,GLO,b5c602c6-def3-11e6-bf01-fe55135034f3,Calculated
08a91e70-3ddc-11dd-9293-0050c2490048,particles (PM2.5),air,"Emissions to air, unspecified",PM,0.000238497,GLO,b5c602c6-def3-11e6-bf01-fe55135034f3,Unknown derivation
08a91e70-3ddc-11dd-96e5-0050c2490048,nitrogen dioxide,air,"Emissions to air, unspecified",PM,1.6e-06,GLO,b5c602c6-def3-11e6-bf01-fe55135034f3,Unknown derivation
08a91e70-3ddc-11dd-a2a9-0050c2490048,ammonia,air,"Emissions to air, unspecified",PM,2.1e-05,GLO,b5c602c6-def3-11e6-bf01-fe55135034f3,Unknown derivation
fe0acd60-3ddc-11dd-ac48-0050c2490048,sulfur dioxide,air,"Emissions to air, unspecified",PM,8e-06,GLO,b5c602c6-def3-11e6-bf01-fe55135034f3,Unknown derivation
08a91e70-3ddc-11dd-a2a9-0050c2490048,ammonia,air,"Emissions to air, unspecified",EP-marine,0.092,GLO,b5c619fa-def3-11e6-bf01-fe55135034f3,Calculated
08a91e70-3ddc-11dd-96b0-0050c2490048,ammonia,freshwater,Emissions to fresh water,EP-marine,0.824,GLO,b5c619fa-def3-11e6-bf01-fe55135034f3,Estimated
08a91e70-3ddc-11dd-954a-0050c2490048,ammonia,water,"Emissions to water, unspecified",EP-marine,0.824,GLO,b5c619fa-def3-11e6-bf01-fe55135034f3,Calculated
