source_id,type,citation,doi_or_url,notes
NEZERKA2023REV,paper,"Nežerka V, Holeček P, Somr M, Tichá P, Domonkos M, Stiborová H (2023) On the possibility of using bacteria for recycling finest fractions of concrete waste: a critical review. Rev Environ Sci Biotechnol 22:427–450",10.1007/s11157-023-09654-3,"Critical review; MICP pathways; Porter/Deng LCA summary; urea/CaCl2 embodied energy; mitigation of NH3/NH4+"
NEZERKA2023LCA,paper,"Nežerka V, Prošek Z, Trejbal J, Pešta J, Ferriz-Papi JA, Tesárek P (2023) Recycling of fines from waste concrete: development of lightweight masonry blocks and assessment of their environmental benefits. J Clean Prod 385:135711",10.1016/j.jclepro.2022.135711,"EN 15804+A2 LCA (GaBi) of WCF-OPC foamed blocks; RCF milling 6.25 kWh/t, mill wear 268 g/t; transport distances; AAC EPD comparison"
HOLECEK2024,paper,"Holeček P, Kliková K, Koňáková D, Stiborová H, Nežerka V (2024) Ureolytic bacteria-assisted recycling of waste concrete fines. Powder Technol 434:119310",10.1016/j.powtec.2023.119310,"S. pasteurii DSM 33 on WCF-G/WCF-H; 14–90 d; CaCO3 +11 %; porosity −15 %; stiffness"
KLIKOVA2025CCC,paper,"Kliková K, Holeček P, Koňáková D, Stiborová H, Nežerka V (2025) Exploiting Bacillus pseudofirmus and Bacillus cohnii to promote CaCO3 and AFt phase formation for stabilizing waste concrete fines. Cem Concr Compos 155:105839",10.1016/j.cemconcomp.2024.105839,"Non-ureolytic strains; Ca-lactate; WCF-C with gypsum → AFt; feather fibres; compaction"
KLIKOVA2025ESPR,paper,"Kliková K, Holeček P, Nežerka V, Prošek Z, Koňáková D, Demnerová K, Stiborová H (2025) Application of Sporosarcina pasteurii for the biomineralization of calcite in the treatment of waste concrete fines. Environ Sci Pollut Res",10.1007/s11356-025-36102-2,"Parameter optimisation (OD600 5, pH 6.8, single bacterial addition); Lavaris SKD 600 mill 230 kW"
KLIKOVA2025JECE,paper,"Kliková K, Holeček P, Hángocová J, Koňáková D, Nežerka V, Stiborová H (2025) Fungal biomineralization potential for stabilization of waste powders. J Environ Chem Eng 13:119335",10.1016/j.jece.2025.119335,"Trichoderma reesei DSM 768; malt extract broth; CaCl2 vs Ca-lactate; +5 % calcite"
OTTOVA2026,paper,"Ottová H, Malíková B, Nežerka V, Holeček P, Koňáková D, Stiborová H (2026) Optimizing feather hydrolysate via machine learning for microbial recycling of waste concrete fines. J Chem Technol Biotechnol",10.1002/jctb.70172,"Feather hydrolysate medium (KOH 8 g/L, feathers 15 g/L, 100 °C, 0.25 h, YE 2–3 g/L); cost −80 %"
NEZERKA2026PRE,preprint,"Nežerka V, Kliková K, Holeček P, Koňáková D, Stiborová H (2026) Gypsum-promoted non-ureolytic biocementation of heterogeneous demolition residues by sulfate-bearing mineral formation. Preprint submitted to Constr Build Mater (14 May 2026)",,"S. cohnii DSM 6307; WCF-C, HM1, HM2; 10 wt% waste gypsum; single vs repeated nutrient dosing; 20 vs 30 °C; fc up to 1.92 MPa; prototypes 110×70×30 mm"
PORTER2021,paper,"Porter H, Mukherjee A, Tuladhar R, Dhami NK (2021) Life cycle assessment of biocement: an emerging sustainable solution? Sustainability 13:13878",10.3390/su132413878,"LCA of 1 kg CaCO3 via six MICP pathways; lab vs commercial grade; ecoinvent v2.2; CaCl2 0.854 kg CO2/kg & 10.96 MJ/kg; urea 30.54 MJ/kg"
DENG2021,paper,"Deng X, Li Y, Liu H, Zhao Y, Yang Y, Xu X, Cheng X, de Wit B (2021) Examining energy consumption and carbon emissions of microbial induced carbonate precipitation using the life cycle assessment method. Sustainability 13:4856",10.3390/su13094856,"1 t CaCO3 by ureolytic MICP: 3.4 t CO2, 1.8 tce; urea 0.42 t CO2/t, CaCl2 2.79 t CO2/t (China); fermenter equipment list"
